\fixlen = T
\RowsRetrieved = 5428
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|in_row_id|             in_ra|             in_dec|scan_id|scangrp|frame_num|band|qual_frame|          moon_sep|          dtanneal|              saa_sep|             unixt|               date_obs|               fname               |
|      int|            double|             double|   char|   char|      int| int|       int|            double|            double|               double|            double|                   char|               char                |
|         |                  |                   |       |       |         |    |          |                  |                  |                     |                  |                       |                                   |
|     null|              null|               null|   null|   null|     null|null|      null|              null|              null|                 null|              null|                   null|               null                |
         1 58.770299999999999 -38.195140000000002  06985b      5b       242    1         10 61.991999999999997   2966.21889346838    55.783000000000001     1280761801.546 2010-08-02 15:10:01.546           06985b242-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06985b      5b       243    1         10 62.685000000000002 2977.2189590930898                55.683   1280761812.54598 2010-08-02 15:10:12.546           06985b243-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06988a      8a       218    1         10             62.939 8698.2448889017105    70.206999999999994     1280767533.572 2010-08-02 16:45:33.572           06988a218-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06989b      9b       242    1         10             61.869   14397.2665889859    82.007000000000005 1280773232.5940001 2010-08-02 18:20:32.594           06989b242-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06989b      9b       243    1         10 62.564999999999998   14408.2707529664    81.426000000000002     1280773243.598 2010-08-02 18:20:43.598           06989b243-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06992a      2a       217    1         10 62.149999999999999 20118.296617090698    88.248999999999995 1280778953.6240001 2010-08-02 19:55:53.624           06992a217-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06992a      2a       218    1         10 62.847999999999999 20129.296682715401    87.518000000000001   1280778964.62398 2010-08-02 19:56:04.624           06992a218-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06993b      3b       242    1         10 61.771999999999998 25828.318382859201    73.409999999999997   1280784663.64501 2010-08-02 21:31:03.645           06993b242-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06993b      3b       243    1         10 62.469999999999999 25839.322546899301    72.983000000000004 1280784674.6499801 2010-08-02 21:31:14.650           06993b243-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06996a      6a       218    1         10 62.094000000000001 31549.344312608198    55.579999999999998   1280790384.67099 2010-08-02 23:06:24.671           06996a218-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  06996a      6a       220    1         10 62.792999999999999    31560.344378233    55.310000000000002   1280790395.67101 2010-08-02 23:06:35.671           06996a220-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07045b      5b       240    1         10 62.856999999999999 2977.8041905760801    51.576999999999998 1280933267.2780001 2010-08-04 14:47:47.278           07045b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07049b      9b       239    1         10 62.460000000000001    14397.847731173    80.283000000000001     1280944687.322 2010-08-04 17:58:07.322           07049b239-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07049b      9b       240    1         10 63.110999999999997   14408.8518952131    79.727999999999994     1280944698.326 2010-08-04 17:58:18.326           07049b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07053b      3b       239    1         10 62.752000000000002 25828.899534285101    77.676000000000002 1280956118.3740101 2010-08-04 21:08:38.374           07053b239-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07053b      3b       240    1         10 63.393999999999998   25839.9036982656    77.367999999999995   1280956129.37802 2010-08-04 21:08:49.378           07053b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07057b      7b       239    1         10 63.051000000000002 37259.951337337501    41.753999999999998 1280967549.4249899 2010-08-05 00:19:09.425           07057b239-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07057b      7b       240    1         10             63.683 37270.955501377597                41.613 1280967560.4300001 2010-08-05 00:19:20.430           07057b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07073b      3b       240    1         10 64.510000000000005 40168.217964887597                30.887 1281013273.9189999 2010-08-05 13:01:13.919           07073b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07073b      3b       241    1         10 65.099000000000004 40179.222133159601                31.128 1281013284.9230001 2010-08-05 13:01:24.923           07073b241-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07076a      6a       214    1         10 64.560000000000002 2967.8329576849901    49.392000000000003 1281018983.9429901 2010-08-05 14:36:23.943           07076a214-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07076a      6a       216    1         10 65.138999999999996 2978.8371259570099    49.439999999999998   1281018994.94699 2010-08-05 14:36:34.947           07076a216-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07077b      7b       240    1         10 64.929000000000002 8688.8611067533493    65.947000000000003   1281024704.97102 2010-08-05 16:11:44.971           07077b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07077b      7b       241    1         10             65.506 8699.8652750849706    65.620000000000005 1281024715.9749801 2010-08-05 16:11:55.975           07077b241-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07080a      0a       215    1         10 65.007999999999996   14398.8891860247    79.313999999999993 1281030414.9989901 2010-08-05 17:46:54.999           07080a215-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07080a      0a       216    1         10 65.575000000000003   14409.8892559409    78.953000000000003 1281030425.9990101 2010-08-05 17:47:05.999           07080a216-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07081b      1b       240    1         10             65.375    20119.917335093    87.150999999999996   1281036136.02702 2010-08-05 19:22:16.027           07081b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07081b      1b       241    1         10 65.939999999999998    20130.921503365    86.501999999999995 1281036147.0319901 2010-08-05 19:22:27.032           07081b241-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07084a      4a       215    1         10 65.480999999999995 25829.945414304701    79.772000000000006 1281041846.0549901 2010-08-05 20:57:26.055           07084a215-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07084a      4a       216    1         10 66.034999999999997 25840.945484161399    79.451999999999998 1281041857.0550101 2010-08-05 20:57:37.055           07084a216-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07085b      5b       239    1         10 65.289000000000001   31539.9734934568    62.552999999999997 1281047556.0840099 2010-08-05 22:32:36.084           07085b239-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07085b      5b       240    1         10 65.838999999999999   31550.9735633731    62.215000000000003 1281047567.0839901 2010-08-05 22:32:47.084           07085b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07085b      5b       241    1         10 66.391000000000005   31561.9777316451    61.883000000000003   1281047578.08799 2010-08-05 22:32:58.088           07085b241-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07088a      8a       215    1         10 65.960999999999999 37260.997544169397    43.979999999999997 1281053277.1080101 2010-08-06 00:07:57.108           07088a215-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07088a      8a       216    1         10 66.501000000000005 37272.001712441401    43.811999999999998   1281053288.11202 2010-08-06 00:08:08.112           07088a216-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07093b      3b       239    1         10 66.298000000000002   11582.7337653041                 0.248     1281070418.188 2010-08-06 04:53:38.188           07093b239-w1-int-1b.fits 
