\fixlen = T
\RowsRetrieved = 5428
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|in_row_id|             in_ra|             in_dec|scan_id|scangrp|frame_num|band|qual_frame|          moon_sep|          dtanneal|              saa_sep|             unixt|               date_obs|               fname               |
|      int|            double|             double|   char|   char|      int| int|       int|            double|            double|               double|            double|                   char|               char                |
|         |                  |                   |       |       |         |    |          |                  |                  |                     |                  |                       |                                   |
|     null|              null|               null|   null|   null|     null|null|      null|              null|              null|                 null|              null|                   null|               null                |
         1 58.770299999999999 -38.195140000000002  57895r      5r        47    2          5 110.75985179982101             999999    33.256909999999998   1704815348.39499 2024-01-09 15:49:08.395           57895r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57899r      9r        47    2          5   109.855744920935             999999              5.587936 1704826493.4319899 2024-01-09 18:54:53.432           57899r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57899r      9r        48    2         10   110.320753884279             999999    4.8713179999999996 1704826504.4320099 2024-01-09 18:55:04.432           57899r048-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57907r      7r        47    2         10   108.475833916874             999999   0.80844800000000006   1704848794.50599 2024-01-10 01:06:34.506           57907r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57907r      7r        48    2         10   108.911863962985             999999   0.67785799999999996 1704848805.5060101 2024-01-10 01:06:45.506           57907r048-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57909r      9r        23    2          5   108.017823853641             999999    17.725535000000001     1704854372.527 2024-01-10 02:39:32.527           57909r023-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57911r      1r        46    2         10 107.54933471675101             999999             35.635824     1704859939.539 2024-01-10 04:12:19.539           57911r046-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57911r      1r        48    2         10 107.97163078861701             999999    35.796973999999999   1704859950.54301 2024-01-10 04:12:30.543           57911r048-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57913r      3r        23    2          5   107.081184797353             999999    53.737819999999999   1704865517.56001 2024-01-10 05:45:17.560           57913r023-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57913r      3r        24    2         10   107.491627217028             999999    54.061124999999997 1704865528.5640099 2024-01-10 05:45:28.564           57913r024-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57915r      5r        47    2         10 107.02910929496301             999999    69.521969999999996 1704871095.5810101 2024-01-10 07:18:15.581           57915r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57917r      7r        23    2         10 106.53913111709601             999999    81.772402999999997 1704876673.5969801 2024-01-10 08:51:13.597           57917r023-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57919r      9r        47    2          5 106.08529865288401             999999    88.648894999999996     1704882240.618 2024-01-10 10:24:00.618           57919r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57919r      9r        48    2          5   106.476781572421             999999    89.427451000000005   1704882251.61798 2024-01-10 10:24:11.618           57919r048-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57921r      1r        23    2         10   105.589194552219             999999    77.757588999999996 1704887818.6340201 2024-01-10 11:56:58.634           57921r023-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57923r      3r        46    2          5   105.140900551543             999999    60.420668999999997   1704893385.65101 2024-01-10 13:29:45.651           57923r046-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57923r      3r        47    2          5 105.51747685023901             999999    60.428921000000003   1704893396.65502 2024-01-10 13:29:56.655           57923r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57925r      5r        22    2         10 104.63584347616499             999999    42.311787000000002   1704898963.67202 2024-01-10 15:02:43.672           57925r022-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57925r      5r        24    2         10   105.000302885602             999999    42.150486999999998 1704898974.6760199 2024-01-10 15:02:54.676           57925r024-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57927r      7r        47    2          5 104.55787079815001             999999    24.291409999999999   1704904541.68799 2024-01-10 16:35:41.688           57927r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57929r      9r        22    2          5   103.681914143604             999999             10.775414 1704910108.7049899 2024-01-10 18:08:28.705           57929r022-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57929r      9r        23    2         10   104.031001745751             999999    10.061515999999999 1704910119.7089901 2024-01-10 18:08:39.709           57929r023-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57939r      9r        47    2         10   102.000407840327             999999    9.0756779999999999 1704937987.8040199 2024-01-11 01:53:07.804           57939r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57941r      1r        22    2          5 101.13719697660299             999999    26.582298999999999   1704943554.81599 2024-01-11 03:25:54.816           57941r022-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57941r      1r        23    2          5   101.437867454894             999999    26.616738000000002   1704943565.82498 2024-01-11 03:26:05.825           57941r023-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57943r      3r        47    2         10 101.03191537755001             999999    44.812570999999998 1704949132.8369901 2024-01-11 04:58:52.837           57943r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57943r      3r        48    2          5   101.327921041859             999999             45.064653 1704949143.8370099 2024-01-11 04:59:03.837           57943r048-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57945r      5r        23    2         10   100.462410282786             999999    62.490716999999997 1704954710.8540101 2024-01-11 06:31:50.854           57945r023-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57947r      7r        46    2          5   100.067597521371             999999    75.851778999999993 1704960277.8699999 2024-01-11 08:04:37.870           57947r046-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57947r      7r        47    2          5   100.347287818905             999999    76.511966999999999 1704960288.8740001 2024-01-11 08:04:48.874           57947r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57949r      9r        22    2         10   99.4905238689459             999999    85.743943000000002     1704965855.891 2024-01-11 09:37:35.891           57949r022-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57949r      9r        24    2         10 99.757307932640202             999999    86.509489000000002   1704965866.89501 2024-01-11 09:37:46.895           57949r024-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57951r      1r        47    2         10 99.369623414394994             999999    85.856441000000004 1704971433.9070201 2024-01-11 11:10:33.907           57951r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57955r      5r        47    2         10 98.392672059402898             999999    51.409218000000003      1704982578.99 2024-01-11 14:16:18.990           57955r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57955r      5r        48    2         10 98.638759382985498             999999             51.362313 1704982589.9979801 2024-01-11 14:16:29.998           57955r048-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57957r      7r        23    2          5 97.790785500001604             999999    33.082850999999998   1704988157.00999 2024-01-11 15:49:17.010           57957r023-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57959r      9r        46    2          5 97.424905954946595             999999    16.348286000000002 1704993724.0269899 2024-01-11 17:22:04.027           57959r046-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57959r      9r        47    2          5 97.653838361392602             999999    15.749874999999999 1704993735.0309899 2024-01-11 17:22:15.031           57959r047-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57961r      1r        22    2          5 96.817223072879401             999999    4.8278910000000002     1704999302.043 2024-01-11 18:55:02.043           57961r022-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57961r      1r        24    2          5 97.032972498035903             999999    4.3490279999999997 1704999313.0470099 2024-01-11 18:55:13.047           57961r024-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57969r      9r        23    2         10 95.072583246157095             999999   0.62129500000000004 1705021603.1259799 2024-01-12 01:06:43.126           57969r023-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57973r      3r        12    2          5 94.084930307025402             999999    35.243847000000002 1705032704.1500199 2024-01-12 04:11:44.150           57973r012-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  57973r      3r        13    2         10 94.249108418023994             999999    35.362288999999997   1705032715.15499 2024-01-12 04:11:55.155           57973r013-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  58205r      5r        27    2         10   60.4193796175404             999999    34.077170000000002 1705679193.5079999 2024-01-19 15:46:33.508           58205r027-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  58205r      5r        28    2          5 59.720585797307997             999999    33.803249999999998 1705679204.5120101 2024-01-19 15:46:44.512           58205r028-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  58206r      6r        52    2         10 60.133627149558698             999999    16.631530999999999 1705684771.5240099 2024-01-19 17:19:31.524           58206r052-w2-int-1b.fits 
